Date,TAVG,TMAX,TMIN,PRCP,SNOW,SNWD,num_rides,Holiday,weekend
2016-01-02,40.0,48,32,0.0,0.0,0.0,4921,False,False
2016-01-03,41.0,54,32,0.0,0.0,0.0,4965,False,True
2016-01-04,36.0,38,21,0.0,0.0,0.0,5133,False,False
2016-01-05,24.0,34,16,0.0,0.0,0.0,4850,False,False
2016-01-06,29.0,40,20,0.0,0.0,0.0,5712,False,False
2016-01-07,38.0,43,34,0.0,0.0,0.0,6592,False,False
2016-01-08,41.0,45,40,0.0,0.0,0.0,6153,False,False
2016-01-09,44.0,50,41,0.23,0.0,0.0,5314,False,False
2016-01-10,54.0,62,37,0.56,0.0,0.0,5663,False,True
2016-01-11,36.0,41,28,0.0,0.0,0.0,6294,False,False
2016-01-12,36.0,47,28,0.0,0.0,0.0,6490,False,False
2016-01-13,28.0,32,21,0.0,0.0,0.0,5620,False,False
2016-01-14,35.0,53,28,0.0,0.0,0.0,7164,False,False
2016-01-15,43.0,50,34,0.32,0.0,0.0,5983,False,False
2016-01-16,45.0,53,38,0.01,0.0,0.0,5908,False,False
2016-01-17,37.0,38,32,0.05,0.3,0.0,3400,False,True
2016-01-18,26.0,34,16,0.0,0.0,0.0,2499,True,False
2016-01-19,20.0,28,15,0.0,0.0,0.0,3912,False,False
2016-01-20,24.0,31,19,0.03,0.7,0.0,4321,False,False
2016-01-21,28.0,34,24,0.0,0.0,0.0,4228,False,False
2016-01-22,26.0,29,22,0.51,6.5,0.0,2985,False,False
2016-01-27,42.0,48,31,0.0,0.0,3.9,528,False,False
2016-01-28,33.0,40,25,0.0,0.0,3.9,2022,False,False
2016-01-29,36.0,43,28,0.0,0.0,3.1,2942,False,False
2016-01-30,33.0,42,24,0.0,0.0,3.1,2822,False,False
2016-01-31,43.0,57,36,0.0,0.0,3.1,3611,False,True
2016-02-01,50.0,61,43,0.12,0.0,0.0,4604,False,False
2016-02-02,44.0,53,36,0.0,0.0,0.0,6584,False,False
2016-02-03,45.0,57,41,0.5,0.0,0.0,4243,False,False
2016-02-04,52.0,58,42,0.02,0.0,0.0,6691,False,False
2016-02-05,41.0,44,33,0.04,0.0,0.0,5822,False,False
2016-02-06,36.0,44,28,0.0,0.0,0.0,5042,False,False
2016-02-07,38.0,46,30,0.0,0.0,0.0,4664,False,True
2016-02-08,41.0,46,34,0.01,0.0,0.0,5994,False,False
2016-02-09,38.0,40,32,0.22,0.0,0.0,4053,False,False
2016-02-10,34.0,39,26,0.0,0.0,0.0,5493,False,False
